                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0383,                 1.5933,                0.90724,                 1.0139,                0.84579,                0.85636,                0.90838,                0.66088,                0.84252,                0.84649,                0.89738,                0.53935,                 0.9595,                 1.3828,                0.72695,                0.98118,              0.0006629,              0.0006629,              0.0006629
                      2,                0.91475,                 1.3146,                0.63795,                0.94843,                0.88042,                0.88194,                0.93195,                0.73089,                0.87873,                0.87775,                0.92654,                0.64797,                0.80081,                 0.9861,                 0.5947,                0.94446,              0.0012769,              0.0012769,              0.0012769
                      3,                0.92222,                 1.2943,                 0.6158,                0.94912,                0.84865,                0.87432,                0.90964,                0.70361,                0.84746,                 0.8708,                0.90635,                 0.6215,                0.81245,                  1.021,                0.66978,                0.94992,              0.0018381,              0.0018381,              0.0018381
                      4,                0.89439,                 1.2777,                0.60716,                 0.9446,                0.87384,                0.90197,                0.94141,                 0.7548,                0.87348,                0.90159,                0.93907,                0.67901,                0.74911,                0.91688,                0.58142,                0.92449,              0.0017624,              0.0017624,              0.0017624
                      5,                0.86649,                 1.2374,                 0.5836,                0.93611,                0.89512,                0.90962,                0.95103,                 0.7676,                0.89713,                 0.9066,                0.94769,                0.67629,                0.74247,                0.95837,                0.52613,                0.92463,              0.0017624,              0.0017624,              0.0017624
                      6,                0.84334,                 1.2026,                0.56358,                0.93325,                0.89474,                0.91671,                0.95106,                0.76864,                0.89683,                0.91363,                0.94979,                0.68584,                 0.7291,                 0.9335,                0.50171,                0.91509,              0.0016832,              0.0016832,              0.0016832
                      7,                0.82209,                 1.1679,                 0.5386,                0.92355,                0.89523,                0.91214,                0.95419,                0.78206,                0.89628,                0.90784,                 0.9491,                0.68022,                 0.6952,                 0.9228,                0.49332,                0.91047,               0.001604,               0.001604,               0.001604
                      8,                0.80934,                  1.174,                0.52435,                0.91875,                0.90162,                0.92329,                0.95804,                0.78524,                0.90244,                0.91896,                0.95315,                0.66819,                0.70534,                0.94139,                0.47351,                0.91288,              0.0015248,              0.0015248,              0.0015248
                      9,                0.78553,                 1.1305,                0.51469,                0.91201,                 0.9036,                0.92076,                0.95817,                0.79557,                0.90455,                0.91816,                0.95394,                0.68089,                0.67462,                0.91749,                0.45987,                0.90602,              0.0014456,              0.0014456,              0.0014456
                     10,                0.77763,                 1.1144,                0.50593,                0.91141,                 0.9071,                0.91752,                0.95959,                0.79495,                0.90652,                0.91257,                0.95454,                 0.6799,                0.67802,                0.83507,                0.46444,                0.90667,              0.0013664,              0.0013664,              0.0013664
