                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99305,                 1.5321,                0.84566,                 1.0193,                0.83923,                0.84626,                0.89307,                0.65053,                0.84175,                0.84145,                0.88833,                0.53721,                0.97027,                 1.2356,                 0.6776,                 1.0301,              0.0006629,              0.0006629,              0.0006629
                      2,                 0.9103,                 1.3146,                0.62108,                0.97204,                0.73777,                0.86784,                0.75753,                 0.5813,                0.73658,                0.86385,                0.75219,                0.49592,                0.80088,                 1.0415,                0.65033,                0.98273,              0.0012418,              0.0012418,              0.0012418
                      3,                0.91911,                 1.3177,                0.60802,                0.97287,                0.87562,                0.90415,                0.94159,                0.74233,                 0.8754,                0.90122,                0.93775,                0.65951,                0.78645,                0.98581,                0.56803,                0.96679,              0.0017327,              0.0017327,              0.0017327
                      4,                0.90039,                 1.2837,                0.58974,                0.96785,                0.88222,                0.90082,                0.94465,                0.75024,                0.88275,                0.89906,                0.94191,                0.65393,                0.75507,                0.96348,                0.61581,                0.96062,               0.001604,               0.001604,               0.001604
                      5,                0.86433,                 1.2537,                 0.5744,                0.95905,                 0.8707,                0.89431,                0.93467,                0.73601,                0.87353,                0.88868,                0.93152,                0.64964,                0.78679,                 1.0099,                0.59271,                0.97724,               0.001604,               0.001604,               0.001604
                      6,                0.82552,                 1.2234,                 0.5678,                0.97377,                0.88939,                0.90467,                0.94735,                0.77247,                0.88996,                0.90147,                0.94311,                0.66759,                0.71244,                0.95088,                0.52017,                0.94494,               0.001472,               0.001472,               0.001472
                      7,                0.79414,                 1.1712,                0.52083,                0.95594,                0.89971,                0.91698,                0.95488,                0.76316,                0.89729,                 0.9133,                0.95021,                0.68731,                0.75462,                0.95529,                0.49691,                0.94753,                0.00134,                0.00134,                0.00134
                      8,                0.77465,                 1.1407,                0.51219,                0.95164,                0.89688,                  0.921,                0.95684,                0.77684,                0.89701,                0.91316,                0.95172,                0.67508,                0.72003,                0.91514,                0.47171,                0.94359,               0.001208,               0.001208,               0.001208
                      9,                0.75719,                 1.1239,                0.49037,                0.94368,                0.90506,                0.92561,                0.95973,                0.79348,                0.90853,                0.91718,                0.95559,                0.69077,                0.68507,                 0.8623,                0.44388,                0.92628,               0.001076,               0.001076,               0.001076
                     10,                0.74407,                 1.1036,                0.48128,                0.93545,                0.90611,                0.92727,                0.96098,                0.80816,                0.90691,                0.92317,                0.95687,                0.68999,                0.65178,                0.84081,                 0.4374,                0.91742,               0.000944,               0.000944,               0.000944
                     11,                0.72092,                 1.0753,                0.47031,                0.92841,                0.90592,                0.92816,                0.96291,                0.79463,                0.90519,                 0.9246,                0.95806,                0.69447,                0.68396,                0.88232,                0.43749,                0.92322,               0.000812,               0.000812,               0.000812
                     12,                0.70848,                 1.0524,                0.45416,                0.92195,                0.91249,                 0.9298,                 0.9642,                0.81667,                 0.9139,                0.92622,                 0.9596,                0.70061,                 0.6254,                0.84631,                0.40623,                0.90814,                0.00068,                0.00068,                0.00068
                     13,                0.69065,                 1.0386,                0.44071,                 0.9166,                0.90652,                0.93578,                0.96495,                 0.8169,                 0.9061,                0.93076,                0.96011,                0.69831,                0.63747,                 0.8167,                0.40743,                0.90891,               0.000548,               0.000548,               0.000548
                     14,                 0.6762,                 1.0169,                0.43081,                0.91231,                 0.9129,                0.93489,                0.96763,                0.82929,                0.91029,                0.92981,                 0.9617,                0.70404,                0.59418,                0.79136,                 0.3936,                0.89685,               0.000416,               0.000416,               0.000416
                     15,                0.65845,                0.99504,                0.41591,                0.90559,                 0.9153,                0.93472,                0.96764,                 0.8323,                 0.9138,                0.92934,                0.96268,                0.69747,                0.59273,                 0.7915,                0.38538,                0.89524,               0.000284,               0.000284,               0.000284
