                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69706,                 1.0104,                0.43299,                0.90044,                 0.8994,                0.92903,                0.96063,                0.80551,                0.90201,                0.92502,                0.95738,                 0.6899,                0.64527,                0.77366,                0.43719,                0.91013,              0.0006629,              0.0006629,              0.0006629
                      2,                0.71977,                 1.0322,                0.45165,                0.90684,                0.90651,                0.92761,                0.96123,                0.79819,                0.90466,                0.92249,                0.95637,                0.67894,                0.67648,                0.84917,                0.41979,                0.92654,              0.0012418,              0.0012418,              0.0012418
                      3,                0.72561,                 1.0391,                0.45633,                0.90845,                 0.9025,                0.91816,                0.95837,                0.79476,                0.90284,                 0.9146,                0.95377,                0.68715,                0.67472,                0.89924,                0.44842,                0.92746,              0.0017327,              0.0017327,              0.0017327
                      4,                0.73036,                   1.05,                0.46384,                0.91171,                0.90579,                0.91608,                0.95883,                0.79915,                 0.9045,                0.91164,                0.95397,                0.69702,                0.65985,                0.84571,                0.44074,                0.92042,               0.001604,               0.001604,               0.001604
                      5,                 0.7177,                 1.0205,                0.45108,                0.90828,                0.89866,                  0.926,                0.95911,                0.80992,                0.90067,                0.92031,                 0.9552,                0.69332,                0.62871,                0.82478,                0.43223,                0.91142,               0.001604,               0.001604,               0.001604
                      6,                0.71291,                 1.0384,                0.45533,                0.92771,                0.90735,                0.92672,                0.96176,                0.80615,                  0.905,                0.92608,                0.95682,                0.68728,                0.65785,                0.86019,                0.42089,                0.92016,               0.001472,               0.001472,               0.001472
                      7,                0.68494,                 1.0133,                0.43656,                0.91404,                0.90772,                0.93311,                0.96461,                0.81262,                 0.9099,                0.92744,                 0.9601,                0.69473,                0.63779,                0.84257,                 0.4213,                0.91351,                0.00134,                0.00134,                0.00134
                      8,                0.67649,                0.99229,                0.42914,                0.91169,                0.90955,                0.93202,                 0.9647,                 0.8141,                0.90838,                0.92778,                0.96028,                0.70508,                0.63518,                0.84563,                0.40835,                0.91107,               0.001208,               0.001208,               0.001208
                      9,                0.67325,                0.99168,                 0.4226,                0.91155,                0.91116,                0.93447,                0.96502,                0.82458,                0.91015,                0.92968,                0.96098,                 0.7157,                0.60799,                0.78017,                0.40414,                0.90298,               0.001076,               0.001076,               0.001076
                     10,                 0.6621,                0.97228,                0.41478,                0.90352,                0.91487,                0.92862,                0.96604,                0.83012,                0.91358,                0.92476,                0.96201,                 0.7113,                0.60056,                0.79553,                0.39102,                0.90385,               0.000944,               0.000944,               0.000944
                     11,                0.64741,                0.96079,                0.41089,                0.90114,                0.90095,                0.93316,                 0.9637,                0.81914,                0.89918,                0.92782,                0.95906,                0.71445,                0.61237,                0.79453,                0.40761,                0.90338,               0.000812,               0.000812,               0.000812
                     12,                0.63682,                0.93883,                0.39526,                0.89526,                0.90879,                0.93533,                0.96511,                 0.8299,                0.90654,                0.92985,                0.96081,                0.71065,                0.59067,                0.75173,                0.38188,                0.89996,                0.00068,                0.00068,                0.00068
                     13,                0.62818,                0.93177,                0.39078,                0.89305,                0.91272,                0.93608,                0.96734,                 0.8323,                0.91136,                 0.9321,                0.96334,                0.71855,                0.59686,                0.75921,                0.37896,                0.89742,               0.000548,               0.000548,               0.000548
                     14,                0.61833,                0.91378,                0.38372,                0.89022,                0.91283,                0.94201,                0.96921,                0.84023,                0.91094,                0.93595,                0.96428,                 0.7179,                0.57366,                0.76241,                0.36698,                0.89261,               0.000416,               0.000416,               0.000416
                     15,                0.60374,                0.90048,                0.37177,                 0.8868,                0.91345,                0.93909,                0.96886,                0.84273,                0.91045,                0.93599,                0.96505,                0.71794,                0.57012,                0.74301,                0.36167,                0.89215,               0.000284,               0.000284,               0.000284
